0.977439 0.211219
0.999726 0.0234258
0.802245 0.596994
0.738699 0.674035
0.597547 0.801834
0.228801 0.973473
-0.387203 0.921994
-0.42338 0.905952
-0.674316 0.738443
-0.927053 0.374929
-0.995904 -0.0904166
-0.96627 -0.257531
-0.94613 -0.323786
-0.727017 -0.68662
-0.326043 -0.945355
-0.403731 -0.914878
-0.562835 -0.826569
-0.587223 -0.809425
-0.602941 -0.797786
-0.297779 -0.954635
-0.0459489 -0.998944
0.715567 -0.698545
0.737081 -0.675804
0.74316 -0.669113
0.873215 -0.487334
0.610947 -0.791672
-0.806257 -0.591566
-0.818973 -0.573832
-0.733287 -0.679919
-0.627964 -0.778242
