-0.232248 0.508773
-0.796361 0.394285
-0.703858 0.766674
-0.629679 0.629659
-0.470404 0.610415
0.117316 0.771011
0.300221 0.763797
0.3072 0.750893
0.669495 0.936597
0.753831 0.709211
0.485369 0.237985
0.480313 -0.212615
0.837969 0.104956
0.194544 0.309711
0.283888 0.367713
0.20149 0.403754
-0.205633 0.048612
0.308641 -0.209956
0.293996 0.0288198
0.621243 -0.278358
0.482751 -0.770547
0.240906 -0.992543
-0.360844 -0.932257
-0.373441 -0.57348
-0.122333 -0.264439
-0.248952 -0.1016
-0.520891 -0.224987
-0.764559 0.0829089
-0.671897 -0.59132
-0.972803 -0.446461
